sample_id,sample_id2,treatment,colony,tank,bw,chemD,chemN,mech
P11,6847,OA,C,6,-0.942,,,
P12,6877,OA,B,6,-2.148,-0.019,-0.025,-0.162
P13,6861,OA,A,6,-0.32,-0.008,-0.022,
P14,6876,AM,B,8,-1.433,,,-0.145
P15,6873,AM,A,2,-0.656,-0.019,-0.039,-0.134
P17,6864,AM,A,2,-0.003,-0.018,-0.022,-0.205
P18,6880,OA,A,1,-3.326,,,
P19,6883,AM,B,2,-1.823,-0.043,-0.026,-0.178
P20,6885,AM,A,8,-0.957,,,-0.207
P21,6874,AM,A,8,-0.446,-0.024,-0.038,
P23,6853,AM,C,8,-0.765,,,
P24,6862,AM,C,8,-1.595,-0.023,-0.025,
P1,6890,AM,B,8,-1.012,-0.02,-0.024,-0.279
P2,6889,OA,B,6,-0.338,-0.055,-0.057,-0.115
P3,6863,AM,C,2,-1.034,-0.026,-0.062,-0.119
P4,6869,OA,C,1,-1.628,-0.004,-0.028,-0.15
P5,6886,OA,B,1,-0.725,-0.07,-0.057,-0.202
P6,6887,AM,B,2,-2.017,,,
P7,6868,OA,A,1,-0.769,,,
P8,6850,OA,C,1,-1.864,-0.052,-0.026,-0.096
P9,6855,AM,C,2,-0.998,,,
P10,6857,OA,C,6,-2.322,,,